timestamp,x,y
27517342.0,32,111
27517350.0,35,109
27517374.0,46,93
27517375.0,36,123
27517397.0,31,116
27517405.0,37,121
27517415.0,32,113
27517437.0,29,125
27517442.0,33,125
27517462.0,34,114
27517464.0,37,113
27517478.0,36,104
27517487.0,33,113
27517492.0,30,123
27517567.0,37,120
27517656.0,39,113
27517669.0,31,118
27517748.0,44,95
27517752.0,38,105
27517769.0,45,95
27517804.0,31,120
27517806.0,35,108
27517835.0,37,121
27517858.0,49,121
27517877.0,30,124
27517882.0,31,121
27517890.0,37,104
27517907.0,33,113
27517928.0,42,100
27518001.0,41,104
27518034.0,51,100
27518057.0,29,126
27518067.0,36,121
27518082.0,33,126
27518138.0,31,117
27518139.0,43,102
27518152.0,36,125
27518157.0,29,125
27518170.0,36,113
27518190.0,32,111
27518245.0,30,123
27518246.0,38,108
27518262.0,36,124
27518281.0,49,121
27518312.0,40,113
27518384.0,37,102
27518415.0,37,122
27518430.0,48,121
27518430.0,31,115
27518507.0,45,94
27518514.0,39,112
27518543.0,36,124
27518545.0,37,120
27518583.0,37,112
27518592.0,32,112
27518605.0,36,122
27518605.0,36,105
27518608.0,33,104
27518678.0,50,117
27518684.0,36,94
27518712.0,39,114
27518728.0,32,125
27518758.0,42,99
27518760.0,40,113
27518764.0,29,125
27518770.0,36,110
27518782.0,28,127
27518784.0,31,121
27518786.0,30,123
27518801.0,41,100
27518844.0,34,103
27518845.0,37,120
27518883.0,37,102
27518896.0,30,119
27518906.0,38,122
27518931.0,36,123
27518995.0,39,104
27519020.0,35,126
27519070.0,33,125
27519118.0,39,114
27519128.0,36,110
27519139.0,34,113
27519217.0,34,114
27519247.0,35,107
27519252.0,35,124
27519256.0,29,125
27519256.0,30,123
27519414.0,31,116
27519449.0,32,114
27519449.0,29,124
27519462.0,37,118
27519487.0,38,112
27519488.0,36,112
27519501.0,36,119
27519511.0,36,123
27519528.0,32,125
27519542.0,28,127
27519546.0,34,114
27519619.0,35,125
27519640.0,37,122
27519709.0,38,114
27519834.0,37,124
27519836.0,34,101
27519855.0,36,109
27519867.0,28,127
27519877.0,34,107
27519919.0,35,107
27519952.0,39,113
27519970.0,38,107
27520022.0,32,120
27520041.0,43,97
27520060.0,37,122
27520075.0,33,120
27520095.0,33,108
27520102.0,36,119
27520138.0,43,101
27520148.0,33,114
27520215.0,37,121
27520234.0,34,113
27520241.0,43,98
27520284.0,38,125
27520324.0,35,104
27520362.0,30,125
27520363.0,39,102
27520366.0,30,118
27520424.0,33,106
27520441.0,29,124
27520464.0,33,114
27520464.0,35,127
27520465.0,37,124
27520472.0,37,121
27520492.0,35,105
27520522.0,30,122
27520578.0,32,124
27520587.0,36,110
27520589.0,40,111
27520596.0,31,124
27520621.0,31,125
27520715.0,34,127
27520733.0,38,99
27520735.0,31,117
27520753.0,31,116
27520801.0,36,124
27520834.0,39,108
27520855.0,29,124
27520884.0,35,126
27520894.0,38,125
27520897.0,32,114
27520901.0,36,107
27520941.0,43,99
27520980.0,31,125
27520980.0,31,124
27520988.0,37,120
27521037.0,32,108
27521054.0,37,119
27521055.0,40,112
27521055.0,44,98
27521059.0,42,100
27521089.0,36,124
27521164.0,31,126
27521189.0,30,127
27521218.0,40,111
27521228.0,36,113
27521338.0,28,126
27521359.0,34,115
27521386.0,38,115
27521404.0,30,117
27521446.0,35,126
27521463.0,31,108
27521463.0,31,126
27521470.0,29,124
27521555.0,30,119
27521556.0,39,100
27521557.0,31,115
27521578.0,42,108
27521626.0,34,121
27521740.0,39,115
27521792.0,37,116
27521795.0,35,120
27521811.0,29,123
27521812.0,40,112
27521831.0,30,127
27521872.0,41,99
27521878.0,36,105
27521885.0,35,125
27521987.0,45,98
27522011.0,39,125
27522012.0,37,124
27522025.0,30,122
27522070.0,32,127
27522086.0,29,124
27522087.0,34,107
27522089.0,40,102
27522113.0,29,127
27522122.0,35,97
27522128.0,36,123
27522156.0,35,109
27522157.0,31,120
27522189.0,35,121
27522189.0,30,123
27522199.0,32,106
27522216.0,35,98
27522239.0,39,115
27522289.0,36,101
27522312.0,35,124
27522316.0,39,125
27522337.0,45,98
27522362.0,35,110
27522363.0,28,126
27522380.0,36,123
27522412.0,40,111
27522428.0,40,104
27522467.0,85,91
27522478.0,34,99
27522528.0,40,99
27522532.0,34,102
27522563.0,36,109
27522564.0,31,115
27522663.0,37,115
27522676.0,30,126
27522728.0,36,117
27522732.0,34,126
27522732.0,31,107
27522756.0,34,127
27522763.0,35,97
27522841.0,47,106
27522915.0,30,127
27522952.0,35,105
27522955.0,27,127
27522967.0,37,124
27522985.0,30,126
27522999.0,32,114
27522999.0,33,103
27523014.0,28,126
27523019.0,28,125
27523056.0,35,95
27523062.0,30,122
27523105.0,35,101
27523125.0,32,127
27523257.0,38,99
27523270.0,43,105
27523275.0,31,125
27523279.0,33,113
27523337.0,31,120
27523369.0,33,105
27523373.0,35,97
27523378.0,36,106
27523392.0,43,104
27523392.0,34,100
27523403.0,30,121
27523416.0,37,115
27523420.0,32,105
27523424.0,38,105
27523430.0,36,98
27523446.0,42,105
27523460.0,33,101
27523471.0,39,102
27523484.0,33,107
27523516.0,32,106
27523521.0,28,126
27523538.0,33,104
27523539.0,31,115
27523582.0,32,126
27523613.0,32,125
27523652.0,32,112
27523656.0,41,108
27523658.0,34,105
27523682.0,36,104
27523755.0,31,108
27523761.0,29,123
27523792.0,35,96
27523866.0,39,105
27523870.0,38,114
27523910.0,37,124
27523912.0,35,124
27523914.0,30,126
27523927.0,31,113
27523935.0,30,119
27523942.0,31,107
27523942.0,31,116
27523976.0,33,111
27523996.0,43,105
27523996.0,32,120
27524007.0,41,102
27524012.0,30,118
27524026.0,41,96
27524035.0,34,108
27524049.0,37,117
27524053.0,40,107
27524079.0,28,125
27524116.0,40,112
27524146.0,39,101
27524151.0,39,115
27524182.0,36,120
27524188.0,39,105
27524192.0,39,109
27524216.0,31,126
27524225.0,31,124
27524229.0,41,107
27524230.0,37,118
27524240.0,39,113
27524247.0,33,113
27524261.0,37,99
27524264.0,53,96
27524272.0,31,120
27524280.0,35,122
27524317.0,30,126
27524318.0,36,119
27524326.0,35,116
27524327.0,33,101
27524345.0,37,114
27524393.0,29,123
27524544.0,39,101
27524566.0,28,125
27524569.0,37,119
27524577.0,39,104
27524607.0,35,126
27524629.0,41,96
27524630.0,40,112
27524632.0,35,121
27524641.0,37,115
