timestamp,x,y
9643356.0,21,48
9643388.0,30,45
9643396.0,21,47
9643405.0,23,42
9643414.0,31,56
9643444.0,29,46
9643445.0,31,62
9643455.0,27,46
9643465.0,29,47
9643532.0,36,87
9643555.0,24,55
9643569.0,18,45
9643590.0,21,47
9643684.0,32,49
9643751.0,91,117
9643771.0,18,47
9643779.0,29,49
9643879.0,19,48
9643895.0,28,47
9643906.0,23,83
9643921.0,22,46
9643925.0,25,47
9643944.0,25,45
9643961.0,19,46
9643981.0,23,47
9643982.0,21,44
9644043.0,24,84
9644043.0,29,47
9644047.0,92,115
9644055.0,21,70
9644102.0,23,48
9644119.0,19,48
9644120.0,31,61
9644145.0,23,46
9644176.0,18,47
9644189.0,17,46
9644199.0,28,46
9644233.0,22,44
9644265.0,21,47
9644273.0,18,45
9644280.0,19,44
9644281.0,29,48
9644342.0,32,50
9644344.0,29,47
9644365.0,20,49
9644380.0,25,45
9644409.0,24,84
9644424.0,31,45
9644484.0,23,54
9644486.0,19,45
9644493.0,31,55
9644497.0,23,42
9644526.0,21,50
9644530.0,21,45
9644583.0,25,42
9644590.0,31,44
9644601.0,23,67
9644731.0,17,48
9644753.0,84,126
9644771.0,29,46
9644809.0,24,44
9644840.0,22,52
9644863.0,75,58
9644906.0,19,45
9644920.0,25,84
9644934.0,26,43
9644979.0,21,44
9645000.0,32,49
9645000.0,24,82
9645018.0,18,45
9645060.0,32,52
9645077.0,75,58
9645091.0,33,85
9645107.0,26,60
9645136.0,29,45
9645148.0,20,45
9645264.0,22,54
9645276.0,23,45
9645298.0,32,48
9645304.0,27,44
9645307.0,36,86
9645336.0,23,49
9645363.0,37,86
9645375.0,24,84
9645457.0,22,44
9645479.0,32,53
9645523.0,28,46
9645541.0,17,48
9645563.0,22,45
9645582.0,31,60
9645641.0,19,47
9645706.0,32,47
9645727.0,29,45
9645740.0,20,49
9645752.0,23,63
9645758.0,19,48
9645781.0,29,48
9645796.0,31,59
9645828.0,26,43
9645844.0,22,48
9645845.0,17,48
9645868.0,20,46
9645872.0,18,45
9645938.0,32,51
9645945.0,18,47
9645945.0,28,59
9645957.0,25,84
9645975.0,91,115
9645989.0,30,47
9645998.0,23,70
9646000.0,23,47
9646062.0,19,48
9646062.0,22,46
9646065.0,27,44
9646087.0,22,48
9646110.0,32,66
9646136.0,21,44
9646171.0,26,85
9646232.0,57,54
9646245.0,32,46
9646266.0,22,45
9646271.0,24,58
9646275.0,31,85
9646294.0,27,45
9646317.0,26,46
9646324.0,23,54
9646332.0,32,67
9646383.0,28,46
9646386.0,32,45
9646388.0,25,44
9646437.0,32,48
9646472.0,24,47
9646510.0,26,61
9646527.0,22,53
9646575.0,23,45
9646578.0,21,50
9646583.0,83,104
9646712.0,22,48
9646712.0,22,51
9646743.0,33,69
9646788.0,20,45
9646794.0,57,53
9646891.0,21,51
9646899.0,25,42
9646900.0,23,46
9646907.0,57,49
9646943.0,32,47
9646951.0,19,48
9646956.0,22,43
9646971.0,91,114
9646977.0,30,46
9646993.0,23,85
9647008.0,21,48
9647013.0,28,45
9647096.0,20,46
