timestamp,x,y
12666075.0,38,87
12666267.0,39,103
12667007.0,29,68
12667591.0,34,96
12667803.0,34,96
12668294.0,28,91
12668437.0,35,84
12669144.0,51,95
12669312.0,71,119
12669447.0,28,94
12669543.0,30,93
12669730.0,30,70
12669848.0,51,102
12670075.0,40,102
12670688.0,30,72
12670966.0,1,73
12671024.0,70,120
12671095.0,0,73
12671150.0,44,95
12671160.0,52,99
12671653.0,1,73
12672022.0,26,67
12672027.0,35,83
12672086.0,18,73
12672347.0,24,67
12672399.0,26,67
12672502.0,36,84
12672606.0,63,63
12672651.0,27,68
12672709.0,62,63
12673134.0,29,77
12673149.0,63,63
12673764.0,63,63
12673805.0,30,97
12673818.0,26,67
12674131.0,26,63
12674221.0,63,63
12674412.0,29,96
12674592.0,26,74
12675301.0,23,75
12675386.0,33,81
12675418.0,54,53
12675483.0,23,65
12675691.0,32,77
12675936.0,26,78
12675989.0,26,77
12676045.0,25,77
12676140.0,20,63
12676372.0,30,95
12676410.0,24,66
12676519.0,29,67
12676534.0,8,82
12676664.0,27,65
12676816.0,26,66
12676817.0,7,82
12676896.0,34,82
12676912.0,35,82
12676914.0,27,77
12676975.0,25,76
12677020.0,33,99
12677055.0,27,64
12677060.0,20,65
12677159.0,44,98
12677173.0,25,76
12677242.0,45,97
12677395.0,22,66
12677414.0,33,99
12677433.0,43,99
12677454.0,52,109
12677809.0,45,97
12677966.0,19,64
12678218.0,29,81
12678243.0,7,82
12678679.0,43,100
12678688.0,45,97
12678731.0,72,118
12678894.0,30,78
12679107.0,24,75
12679222.0,26,73
12679306.0,26,81
12679416.0,43,100
12679716.0,25,81
12680074.0,25,81
12680100.0,26,68
12680150.0,29,94
12680168.0,29,67
12680205.0,26,79
12680326.0,31,72
12680366.0,33,80
12680387.0,22,64
12680516.0,23,74
12680896.0,29,94
12680935.0,25,67
12681037.0,35,82
12681207.0,36,83
12681462.0,26,66
12681638.0,39,102
12681678.0,34,100
12681790.0,26,66
12681853.0,29,94
12682036.0,39,102
12682319.0,27,66
12682612.0,25,76
12682832.0,28,67
12682960.0,41,101
12683401.0,68,52
12683406.0,27,67
12683591.0,32,77
12683806.0,32,76
12683869.0,17,71
