timestamp,x,y
25891910.0,30,61
25891994.0,21,68
25892007.0,19,62
25892009.0,29,59
25892134.0,27,63
25892216.0,25,61
25892319.0,31,63
25892414.0,17,62
25892467.0,25,60
25892476.0,36,79
25892556.0,28,112
25892656.0,19,57
25892663.0,19,58
25892760.0,28,61
25892781.0,18,59
25892851.0,29,58
25892911.0,19,58
25892946.0,25,73
25892995.0,22,64
25893010.0,25,59
25893054.0,29,76
25893209.0,30,63
25893212.0,29,58
25893413.0,21,64
25893605.0,25,61
25893636.0,22,64
25893775.0,28,75
25893853.0,27,76
25893855.0,24,60
25893882.0,22,64
25893954.0,23,63
25893954.0,18,60
25893971.0,29,61
25894003.0,21,64
25894060.0,19,66
25894063.0,25,59
25894078.0,24,72
25894189.0,15,65
25894240.0,31,66
25894253.0,23,62
25894285.0,25,61
25894600.0,26,67
25894613.0,22,58
25894676.0,23,59
25894678.0,19,61
25894817.0,21,64
25894830.0,16,65
25894834.0,26,66
25894843.0,32,70
25894867.0,16,66
25895071.0,16,64
25895117.0,17,60
25895142.0,22,60
25895255.0,21,60
25895319.0,29,60
25895322.0,20,63
25895336.0,21,64
25895347.0,16,64
25895349.0,19,59
25895353.0,31,65
25895466.0,24,82
25895512.0,28,62
25895639.0,25,61
25895649.0,29,60
25895674.0,26,75
25895707.0,18,61
25895768.0,25,75
25895802.0,19,59
25895846.0,17,59
25895961.0,22,61
25896001.0,18,63
25896248.0,27,61
25896278.0,20,69
25896294.0,21,64
25896385.0,20,58
25896484.0,23,71
25896497.0,29,65
25896594.0,16,64
25896625.0,18,61
25896632.0,23,72
25896664.0,19,68
25896784.0,20,60
25896892.0,21,64
25896910.0,19,64
25896972.0,19,59
25897016.0,30,64
25897022.0,29,61
25897057.0,19,65
25897075.0,17,65
25897103.0,20,60
25897126.0,23,59
25897153.0,17,63
25897181.0,27,64
25897227.0,15,65
25897293.0,26,63
25897382.0,22,62
25897496.0,19,59
25897499.0,23,72
25897500.0,22,70
25897611.0,26,62
25897649.0,27,65
25897666.0,33,75
25897698.0,26,63
25897724.0,24,60
25897726.0,27,64
25897819.0,25,61
25897885.0,21,65
25898098.0,21,61
25898212.0,17,62
25898247.0,20,60
25898335.0,23,72
25898457.0,20,60
25898564.0,20,66
25898575.0,21,61
25898578.0,33,76
25898640.0,19,58
25898745.0,36,79
25898761.0,21,59
25898791.0,29,62
25898824.0,42,97
25898881.0,17,62
25898889.0,16,62
25899031.0,27,60
25899056.0,21,70
25899117.0,16,66
25899127.0,17,67
25899173.0,24,59
25899185.0,34,77
25899190.0,26,63
25899224.0,28,63
25899239.0,16,60
25899291.0,17,62
25899335.0,20,67
25899450.0,16,59
25899639.0,20,63
25899641.0,17,61
25899720.0,26,63
25899816.0,18,66
25899867.0,27,62
25900063.0,26,76
25900073.0,25,62
25900097.0,18,68
25900207.0,20,69
25900304.0,31,66
25900326.0,29,62
25900457.0,19,63
25900497.0,17,61
25900514.0,31,68
25900545.0,21,58
25900557.0,20,57
25900623.0,17,65
25900702.0,26,63
25900730.0,29,62
25900774.0,20,59
25900778.0,21,70
25900812.0,19,62
25900890.0,24,61
25900903.0,26,75
25900916.0,21,58
25900981.0,15,61
25900983.0,18,62
25900989.0,26,63
25901012.0,19,57
25901013.0,26,64
25901048.0,17,61
25901093.0,19,63
25901124.0,23,60
25901154.0,67,58
25901228.0,21,66
25901268.0,17,61
25901351.0,24,59
25901456.0,32,71
25901494.0,17,63
25901610.0,27,61
25901610.0,16,62
25901627.0,32,68
25901740.0,26,77
25901819.0,19,63
25901838.0,20,64
25901907.0,22,59
25902011.0,35,79
25902140.0,32,68
25902141.0,36,81
25902168.0,16,65
25902210.0,37,81
25902216.0,22,59
25902260.0,19,63
25902269.0,20,66
25902315.0,31,67
25902403.0,37,83
25902482.0,30,63
25902532.0,37,82
25902551.0,8,81
25902671.0,30,64
25902687.0,30,65
25902754.0,31,67
25902759.0,18,59
25902786.0,16,59
25902831.0,21,58
25902991.0,19,67
25902994.0,18,60
25903021.0,15,66
25903039.0,22,59
25903101.0,32,68
25903357.0,35,78
25903398.0,37,81
25903484.0,20,58
25903575.0,31,67
25903588.0,32,73
25903637.0,34,78
25903757.0,33,75
25903883.0,33,76
25903883.0,31,67
25903956.0,26,68
