x,y
40.5,43.5
46.0,50.5
87.0,118.0
47.0,50.666666666666664
35.0,51.5
44.5,43.25
82.0,106.0
40.5,44.5
48.0,48.5
40.666666666666664,43.0
49.0,52.0
41.0,44.0
46.333333333333336,48.666666666666664
78.0,125.0
47.0,43.5
45.5,52.5
49.0,43.0
46.25,50.75
47.0,45.0
42.0,43.0
48.5,44.0
40.5,43.5
42.0,56.0
45.5,45.5
34.0,52.0
46.0,51.5
40.333333333333336,44.0
47.0,51.333333333333336
38.0,47.5
44.0,43.0
44.5,50.0
41.0,56.0
45.75,44.25
39.0,42.0
45.666666666666664,42.666666666666664
36.0,48.0
45.0,43.333333333333336
38.0,44.0
45.0,45.75
46.5,51.5
42.0,40.5
47.0,53.0
46.5,47.0
41.0,43.0
45.5,48.5
37.5,45.5
37.0,54.0
45.5,42.0
34.0,54.0
43.5,41.0
45.0,52.0
38.5,44.5
38.0,60.0
43.0,42.5
40.666666666666664,56.666666666666664
40.0,44.0
35.0,50.5
44.0,55.0
38.5,43.0
45.0,42.5
47.0,53.0
45.5,47.5
38.0,61.0
45.0,41.0
46.5,50.5
40.0,58.0
45.0,42.5
35.8,48.8
37.0,70.0
45.5,42.5
40.0,40.0
46.0,43.75
39.0,45.0
46.5,50.0
91.0,46.0
44.5,46.5
39.5,58.5
47.25,51.5
45.42857142857143,43.0
41.5,56.0
41.5,42.5
45.0,52.0
87.0,126.0
46.666666666666664,49.666666666666664
41.0,55.0
44.5,46.5
35.0,49.0
45.0,41.666666666666664
48.0,50.0
45.0,42.0
26.5,64.0
26.0,81.0
42.75,54.75
30.0,59.0
47.0,44.0
39.0,42.0
59.0,68.0
39.333333333333336,43.0
31.0,58.0
42.666666666666664,42.333333333333336
44.5,48.5
41.0,57.0
42.5,45.5
46.0,48.0
44.4,42.8
39.5,43.0
47.0,51.0
43.5,42.5
44.5,52.5
58.0,58.0
40.0,43.0
44.666666666666664,42.333333333333336
39.0,40.0
45.5,44.0
40.0,42.25
45.0,53.0
35.5,48.0
46.5,50.0
33.0,58.0
47.0,44.5
45.25,50.0
45.5,42.0
44.333333333333336,49.333333333333336
40.8,43.6
44.333333333333336,42.333333333333336
38.0,45.0
47.0,42.0
44.0,51.0
40.0,57.0
40.5,42.0
46.0,50.0
39.5,57.5
46.0,51.0
46.0,41.5
39.0,40.0
46.0,46.5
39.0,45.666666666666664
45.0,53.0
46.0,43.666666666666664
39.666666666666664,41.333333333333336
35.5,47.0
27.0,66.0
46.0,48.0
46.0,42.0
46.0,53.0
28.5,61.0
42.0,40.0
44.5,52.0
36.0,46.0
39.666666666666664,42.0
44.5,53.0
37.0,65.0
44.0,50.0
40.0,42.0
27.0,82.0
46.5,42.5
35.0,48.5
43.0,54.0
39.0,42.5
37.0,64.0
46.0,51.5
44.0,42.5
46.0,50.0
41.333333333333336,44.333333333333336
47.0,53.0
41.5,44.5
45.5,52.0
32.5,53.5
46.0,49.666666666666664
36.0,45.5
48.0,43.0
44.5,53.5
39.0,45.0
44.5,42.0
34.0,51.0
44.5,50.5
44.0,42.666666666666664
34.5,48.0
44.75,47.0
38.5,43.5
43.0,55.0
45.0,46.0
34.0,50.0
42.0,48.5
43.333333333333336,42.0
43.0,55.0
44.75,46.5
38.5,42.5
45.0,50.0
39.5,42.5
49.0,45.0
40.0,44.333333333333336
45.5,42.0
33.0,52.0
46.0,47.0
35.0,48.0
40.5,45.0
44.0,39.5
43.666666666666664,45.333333333333336
41.5,43.0
45.0,43.0
36.0,45.666666666666664
40.5,56.5
46.0,42.5
44.5,53.0
44.0,39.0
46.0,50.5
30.0,58.0
37.0,43.666666666666664
31.0,57.0
43.5,47.5
42.0,53.5
39.0,41.0
44.0,48.0
40.0,40.5
40.0,57.0
44.0,42.333333333333336
43.0,54.0
32.0,53.0
28.0,79.0
45.5,47.0
38.75,43.5
44.0,44.5
42.5,40.0
33.0,54.0
42.8,42.8
49.0,50.0
45.5,50.0
45.0,43.0
39.0,41.0
34.5,48.5
37.0,41.0
46.5,50.0
45.0,41.0
35.0,45.666666666666664
47.0,49.0
40.2,43.6
42.0,54.0
40.5,42.0
44.0,44.5
26.0,80.0
39.5,43.0
26.0,65.0
42.42857142857143,44.285714285714285
35.0,47.0
43.5,49.5
39.0,41.0
44.42857142857143,43.857142857142854
39.0,42.5
32.333333333333336,52.666666666666664
44.0,42.0
36.0,43.0
43.5,52.0
33.0,49.0
45.333333333333336,50.0
38.0,58.0
40.5,40.5
44.75,44.5
38.0,40.0
43.5,50.5
39.0,59.0
39.0,40.0
47.0,49.0
44.0,40.0
44.0,53.0
42.0,41.5
35.0,46.0
43.5,44.5
35.0,45.5
45.5,42.5
37.0,43.0
44.0,44.5
37.0,60.0
46.5,50.5
45.0,42.0
33.5,49.5
44.5,43.5
51.0,69.0
38.5,40.5
47.0,41.0
39.0,42.5
33.0,50.0
37.0,63.0
45.0,48.0
36.0,43.0
41.5,42.0
44.5,46.5
40.0,57.0
39.333333333333336,41.666666666666664
41.5,42.5
35.0,45.5
43.666666666666664,42.0
37.0,64.0
45.5,47.5
40.0,44.0
44.5,46.5
39.0,55.0
43.75,42.125
44.75,48.5
34.0,48.5
39.75,41.5
32.0,53.5
41.0,41.0
44.5,47.5
38.0,60.0
38.0,42.0
44.0,47.0
32.0,53.0
40.0,41.0
43.0,45.5
39.5,44.5
23.0,79.0
37.5,42.5
44.0,39.5
44.0,50.0
36.0,42.5
43.5,49.5
43.0,43.0
45.5,50.0
42.6,42.8
40.0,56.0
45.0,49.5
46.0,42.0
34.666666666666664,46.333333333333336
36.5,43.5
41.5,41.5
32.0,59.0
36.0,43.666666666666664
39.0,56.333333333333336
44.0,48.0
38.0,58.0
38.0,40.0
41.5,42.5
45.0,48.0
42.0,42.0
40.0,54.5
29.0,60.0
42.5,44.0
33.0,53.0
42.5,46.0
43.0,53.0
36.5,43.5
45.5,43.5
81.0,123.0
39.0,40.5
80.0,122.0
36.5,42.0
44.0,40.0
42.5,53.0
45.0,45.0
38.0,43.0
45.333333333333336,44.666666666666664
38.0,56.0
42.0,41.5
40.0,53.5
33.0,48.5
43.0,43.0
32.0,51.0
41.0,41.666666666666664
48.0,50.333333333333336
25.0,67.0
41.5,53.0
45.0,43.5
81.0,123.0
43.5,43.25
38.5,57.0
43.5,43.0
29.0,60.0
40.0,42.5
43.5,49.0
34.0,41.0
43.0,42.333333333333336
33.0,59.0
37.5,43.0
45.333333333333336,47.666666666666664
41.0,55.0
45.5,46.0
36.0,40.0
44.0,45.333333333333336
32.0,53.5
42.5,47.5
44.666666666666664,42.333333333333336
35.0,42.0
43.5,51.0
39.5,42.0
42.0,41.0
32.5,50.0
37.0,43.0
40.5,39.0
47.0,47.5
33.0,49.0
40.5,39.75
37.5,42.5
43.0,52.0
39.5,40.5
43.333333333333336,51.0
35.0,41.0
32.5,55.5
37.0,40.0
33.333333333333336,47.0
43.5,47.5
40.25,41.0
39.0,57.0
39.5,41.5
37.25,43.25
56.0,58.0
42.0,42.5
32.5,49.0
44.5,41.5
36.5,44.0
42.8,46.8
23.0,71.0
41.0,39.25
45.0,42.0
39.0,40.333333333333336
44.0,52.5
44.0,41.5
81.0,124.0
44.0,50.5
25.0,69.0
38.166666666666664,44.333333333333336
39.0,57.0
42.5,50.0
37.0,40.5
43.0,46.0
37.0,43.0
44.0,51.0
42.0,41.0
44.0,50.5
37.0,41.0
43.0,51.0
42.5,40.5
30.0,58.0
44.0,42.5
41.333333333333336,48.666666666666664
34.0,44.0
42.5,42.0
45.0,49.0
42.5,41.0
35.5,41.0
26.0,68.0
43.5,47.5
38.0,41.0
32.333333333333336,51.0
34.0,40.0
40.857142857142854,42.0
25.0,82.0
41.5,39.0
36.0,59.0
38.2,41.2
44.0,43.0
36.5,42.5
43.0,51.0
41.0,43.0
27.0,66.0
40.125,44.875
43.0,40.0
34.5,41.0
32.0,53.0
40.0,53.5
44.0,44.0
41.0,40.333333333333336
41.666666666666664,50.0
17.0,63.0
42.0,42.25
37.666666666666664,56.0
36.0,41.0
17.0,62.0
42.0,43.5
33.0,55.0
42.5,40.5
41.0,53.5
34.5,44.0
43.0,41.0
36.5,41.0
44.0,43.0
38.0,41.0
43.0,42.0
35.0,43.0
42.5,48.5
36.0,62.0
38.5,39.5
19.0,53.0
40.0,43.0
36.5,41.5
70.0,79.0
43.5,50.5
41.0,38.0
42.5,42.5
33.0,46.5
26.0,66.0
42.0,46.5
29.0,59.0
33.0,45.5
44.0,49.0
38.5,41.5
44.0,48.0
