timestamp,x,y
12079980,28,67
12080452,14,52
12080479,46,101
12080902,49,55
12080988,16,55
12081078,49,55
12081259,27,49
12081766,15,53
12081848,16,57
12081879,49,56
12082061,14,55
12082066,15,53
12082146,27,63
12082201,46,99
12082209,12,55
12082379,24,53
12082920,13,57
12083124,21,50
12083433,16,56
12083872,16,50
12084226,16,50
12084551,16,53
12084571,25,56
12084652,17,57
12084705,26,57
12085405,29,65
12085710,11,58
12086119,11,53
12086181,14,59
12086414,11,57
12086564,16,60
12087151,23,80
12087494,15,56
12087637,15,53
12087645,12,59
12087761,15,56
12087766,15,51
12087911,41,90
12088077,17,54
12088595,14,76
12088700,17,52
12088732,21,52
12088860,16,54
12088919,17,52
12089288,16,51
12090004,15,55
12090491,25,54
12093349,46,103
12093838,45,96
12094092,12,58
12095552,44,97
12101101,11,55
12107588,22,53
12107726,25,54
12107743,11,57
12107927,23,51
12108676,11,56
12108677,23,50
12109043,14,55
12109317,13,57
12109455,14,55
12109828,13,57
12110172,13,55
12111248,14,55
12111396,25,55
12111610,13,54
12112001,17,54
12112561,23,50
12112601,15,56
12112611,25,56
12112934,13,55
12113194,10,55
12113251,11,58
12113292,11,56
12113632,15,55
12113838,12,52
12113931,16,53
12114319,13,52
12114924,13,57
12114929,22,54
12115029,11,53
12115090,12,56
12115162,13,54
12115246,14,51
12115417,46,99
12115594,21,51
12116353,46,101
12116357,15,51
12116484,12,55
12116504,22,52
12116504,11,54
12116934,14,53
12117062,17,54
12117098,15,53
12117457,22,50
12117461,14,59
12117478,12,58
12117984,26,57
12118012,16,51
12118032,11,54
12118072,12,54
12118128,23,50
12118385,24,52
12118487,17,61
12118617,12,57
12118618,25,53
12118878,14,57
12119016,10,55
12119217,18,62
12119229,15,55
12119387,12,53
12119425,17,56
12119459,24,51
12119871,19,52
12119933,16,53
12119967,12,54
12119980,13,57
12119990,19,66
12120129,25,54
12120297,11,58
12120355,14,54
12120380,18,52
12120390,10,58
12120773,13,54
12120776,12,56
12120854,15,57
12120946,10,58
12121038,12,56
12121067,11,52
12121072,12,58
12121120,58,56
12121139,13,56
12121145,19,52
12121188,18,54
12121279,57,57
12121300,11,52
12121466,12,53
12121502,11,57
12121522,26,58
12121578,13,53
12121651,25,53
12121701,16,57
12121709,11,57
