timestamp,x,y
62479019,78,44
62479079,85,85
62479100,88,49
62479121,84,45
62479149,74,54
62479207,79,49
62479362,83,57
62479375,85,55
62479391,91,73
62479404,88,47
62479497,87,64
62479502,83,81
62479550,74,56
62479552,75,58
62479553,83,47
62479557,87,70
62479591,77,51
62479600,86,86
62479626,91,71
62479638,86,47
62479639,84,45
62479645,90,69
62479658,80,77
62479678,83,49
62479697,86,46
62479709,84,55
62479754,80,48
62479758,79,47
62479760,88,49
62479850,86,53
62479904,87,47
62480032,82,76
62480042,77,52
62480044,79,43
62480049,82,64
62480072,75,56
62480115,73,56
62480116,81,43
62480182,78,48
62480227,86,44
62480257,77,68
62480276,81,45
62480345,85,55
62480355,84,56
62480366,78,47
62480370,76,51
62480394,73,56
62480395,76,72
62480432,75,57
62480451,90,72
62480453,85,63
62480455,85,50
62480468,82,42
62480516,76,52
62480517,84,46
62480546,85,56
62480584,77,64
62480708,86,62
62480964,89,67
62481064,81,70
62481172,81,43
62481257,82,42
62481278,90,70
62481322,73,49
62481336,86,48
62481403,73,51
62481415,76,53
62481444,84,59
62481447,88,50
62481449,77,53
62481483,87,50
62481496,78,69
62481497,84,47
62481522,82,66
62481535,86,47
62481582,77,54
62481619,78,70
62481713,83,48
62481740,81,48
62481887,81,43
62481890,87,52
62481905,87,48
62481927,74,55
62481950,76,51
62482008,78,49
62482023,78,68
62482032,85,57
62482035,91,72
62482038,85,63
62482046,74,52
62482069,86,49
62482076,76,50
62482101,85,44
62482120,74,54
62482124,88,49
62482177,84,57
62482180,86,46
62482227,67,49
62482333,85,58
62482445,80,49
62482473,82,43
62482521,69,53
62482573,89,48
62482574,81,49
62482604,83,48
62482637,84,58
62482639,85,56
62482663,78,50
62482683,84,48
62482749,92,77
62482857,72,49
62482899,69,53
62482922,73,49
62482945,81,44
62482949,85,84
62482978,83,90
62483001,78,48
62483005,78,51
62483014,84,46
62483014,84,52
62483015,81,49
62483024,83,59
62483051,91,69
62483082,77,51
62483124,84,84
62483161,85,57
62483188,85,51
62483231,85,44
62483240,74,48
62483283,85,64
62483300,87,45
62483316,73,48
62483413,84,43
62483444,83,49
62483447,88,50
62483527,81,49
62483567,81,55
62483590,90,68
62483593,84,53
62483622,84,44
62483630,85,45
62483688,85,51
62483723,88,51
62483775,86,52
62483783,85,62
62483835,79,45
62483892,78,87
62483908,81,49
62483949,84,46
62483951,77,63
62484017,85,45
62484035,73,49
62484037,85,61
62484049,74,53
62484080,75,49
62484106,87,45
62484256,89,49
62484273,81,49
62484293,86,53
62484305,85,53
62484313,89,48
62484326,82,44
62484329,87,49
62484334,77,63
62484359,79,46
62484371,80,45
62484375,76,50
62484378,79,44
62484382,85,46
62484394,86,55
62484408,85,45
62484415,76,49
62484422,83,45
62484432,62,123
62484439,74,52
62484440,84,45
62484458,81,45
62484500,89,47
62484506,82,45
62484544,84,49
62484545,74,51
62484553,47,122
62484587,48,123
62484610,85,45
62484659,87,46
62484692,86,54
62484701,80,43
62484730,78,50
62484786,73,48
62484803,75,48
62484809,81,48
62484836,74,51
62484905,88,47
62484937,79,86
62485015,85,50
62485021,79,70
62485052,62,123
62485124,83,47
62485126,85,55
62485286,84,51
62485293,85,60
62485415,74,51
62485428,78,61
62485457,87,52
62485511,80,50
62485556,77,60
62485617,77,51
62485655,77,61
62485675,82,46
62485692,77,52
62485702,88,52
62485749,74,51
62485764,79,47
62485777,75,56
62485780,77,48
62485836,88,51
62485909,84,74
62485921,79,67
62485940,84,48
62485959,82,43
62486005,77,61
62486048,79,47
62486059,86,60
62486060,76,49
62486066,86,48
62486078,84,68
62486104,73,49
62486132,92,76
62486180,90,70
62486201,87,65
62486248,85,54
62486290,85,59
62486316,91,68
62486358,85,58
62486376,83,66
62486399,82,44
62486402,83,65
62486476,87,47
62486538,92,74
62486541,83,42
62486558,75,54
62486561,78,51
62486597,91,69
62486609,83,43
62486649,74,50
