timestamp,x,y
9857763,42,43
9857786,39,44
9857812,47,53
9857850,45,48
9857869,87,118
9857925,48,43
9857928,45,52
9857939,49,51
9857944,47,49
9857944,36,49
9857962,47,45
9857969,39,60
9857991,34,54
9857996,47,44
9858005,43,42
9858013,46,45
9858040,42,42
9858064,82,106
9858096,44,48
9858096,33,54
9858107,46,49
9858139,61,49
9858200,47,43
9858207,38,47
9858254,48,44
9858284,45,55
9858316,32,57
9858320,46,101
9858321,47,49
9858355,39,43
9858358,48,48
9858362,44,41
9858367,44,48
9858458,40,41
9858474,35,52
9858602,50,44
9858606,41,43
9858691,40,46
9858700,47,51
9858776,49,46
9858783,42,43
9858856,38,63
9858856,45,101
9858906,47,54
9858919,42,41
9858921,38,45
9858940,49,52
9858999,36,48
9859058,41,42
9859066,45,43
9859073,37,47
9859113,47,48
9859172,44,40
9859206,48,51
9859234,44,47
9859261,78,125
9859265,46,46
9859271,48,41
9859275,46,54
9859333,45,51
9859339,49,43
9859358,35,50
9859407,45,52
9859459,47,51
9859463,48,53
9859474,45,47
9859504,47,45
9859661,41,44
9859668,43,42
9859669,48,43
9859671,34,53
9859723,41,45
9859735,49,45
9859813,40,41
9859826,41,46
9859859,42,56
9859865,45,46
9859894,46,45
9859940,34,52
9859946,40,44
9859956,46,51
9860034,46,52
9860072,39,43
9860075,43,56
9860120,38,62
9860126,29,61
9860172,40,46
9860180,42,43
9860207,44,50
9860266,45,40
9860300,48,52
9860320,49,52
9860326,36,50
9860333,40,45
9860337,44,43
9860344,45,50
9860360,44,50
9860370,41,56
9860372,48,47
9860514,47,43
9860547,44,43
9860550,44,44
9860572,39,42
9860582,46,41
9860595,43,44
9860609,48,43
9860611,36,48
9860620,47,42
9860639,45,47
9860678,43,41
9860727,38,44
9860735,46,45
9860758,46,46
9860759,41,44
9860820,47,48
9860832,46,54
9860839,47,49
9860983,40,41
9861156,44,40
9861165,47,53
9861195,34,53
9861205,47,45
9861233,46,49
9861251,41,43
9861260,46,51
9861269,45,46
9861359,37,46
9861371,46,44
9861391,38,45
9861446,37,54
9861525,48,43
9861551,43,41
9861569,34,54
9861653,47,44
9861682,37,69
9861749,46,40
9861828,41,42
9861833,45,52
9861849,40,42
9861916,37,47
9861931,38,60
9861955,45,54
9862012,45,41
9862032,41,44
9862066,40,57
9862079,42,55
9862108,40,58
9862113,40,44
9862128,39,59
9862150,35,51
9862156,35,50
9862180,44,55
9862241,44,40
9862295,48,46
9862298,38,44
9862334,39,42
9862364,45,45
9862451,45,40
9862508,42,42
9862544,48,43
9862576,47,53
9862663,49,44
9862668,46,110
9862672,44,47
9862681,47,48
9862699,38,61
9862737,45,42
9862784,45,40
9862797,45,49
9862823,46,43
9862824,31,57
9862863,48,52
9862902,40,58
9862907,37,67
9862915,41,41
9862919,44,47
9862924,35,49
9862935,44,40
9862990,46,51
9862994,42,43
9863059,47,51
9863061,41,42
9863069,36,49
9863114,45,50
9863117,47,44
9863163,43,41
9863191,36,48
9863194,34,51
9863197,34,53
9863210,37,46
9863247,38,46
9863247,37,70
9863277,26,70
9863318,91,46
9863320,41,43
9863339,32,56
9863354,35,48
9863460,46,45
9863481,34,52
9863496,38,43
9863510,46,40
9863514,45,45
9863528,40,40
9863529,46,44
9863552,47,42
9863561,47,47
9863576,44,42
9863698,36,47
9863717,49,45
9863777,40,46
9863779,40,43
9863813,40,44
9863819,47,52
9863821,33,54
9863839,38,44
9863889,45,46
9863895,35,50
9863898,47,41
9863901,46,48
9863919,91,46
9863937,46,46
9863951,45,54
9863955,42,45
9863959,42,56
9863983,49,43
9863992,41,44
9864028,37,71
9864038,44,46
9864066,45,47
9864104,39,59
9864145,37,46
9864156,49,44
9864177,40,58
9864181,46,49
9864184,24,81
9864185,40,44
9864203,32,60
9864229,49,51
9864245,48,52
9864249,46,54
9864266,44,43
9864297,40,45
9864319,48,45
9864326,45,40
9864336,46,40
9864338,49,45
9864341,46,43
9864343,39,58
9864379,91,46
9864394,39,41
9864417,49,52
9864449,49,43
9864450,30,58
9864468,44,54
9864486,42,42
9864534,46,45
9864549,39,42
9864551,43,40
9864560,41,43
9864571,38,43
9864648,46,53
9864672,48,47
9864689,36,47
9864712,45,41
9864773,44,51
9864802,87,126
9864837,37,45
9864842,48,46
9864844,48,52
9864867,39,46
9864902,59,66
9864928,35,55
9864947,47,47
9864972,49,52
9864981,44,50
9865002,41,55
9865039,24,80
9865082,44,47
9865110,45,46
9865113,35,49
9865126,41,41
9865155,34,75
9865186,37,64
9865217,48,47
9865301,38,64
9865315,45,44
9865320,44,55
9865326,27,64
9865357,45,41
9865367,43,41
9865438,47,43
9865492,48,50
9865514,40,40
9865530,47,41
9865583,43,43
9865585,25,64
9865586,34,51
9865611,38,64
9865629,45,40
9865654,28,64
9865657,26,81
9865665,40,45
9865691,41,56
9865715,41,57
9865742,43,55
9865780,46,51
9865839,30,59
9865866,49,43
9865896,45,45
9865911,38,42
9865929,40,42
9865951,59,68
9865963,47,44
9865977,33,59
9866029,39,41
9866058,39,45
9866063,40,43
9866126,31,58
9866134,38,43
9866161,46,42
9866167,45,49
9866225,42,41
9866304,46,43
9866313,40,43
9866321,45,51
9866357,28,63
9866365,44,46
9866400,41,57
9866422,46,42
9866424,46,104
9866451,47,52
9866476,45,46
9866495,27,65
9866509,40,44
9866554,43,47
9866566,43,44
9866567,44,47
9866608,46,48
9866641,44,42
9866644,43,40
9866748,46,44
9866806,42,42
9866809,47,46
9866836,38,44
9866868,49,51
9866887,41,42
9866896,46,53
9866897,44,41
9866921,31,57
9866927,39,46
9866949,47,50
9867022,48,50
9867057,41,43
9867116,46,42
9867129,44,51
9867188,41,57
9867342,42,41
9867350,45,54
9867371,58,58
9867398,34,51
9867399,37,44
9867400,33,53
9867465,48,45
9867469,38,42
9867479,42,44
9867513,45,45
9867517,45,40
9867522,44,42
9867523,39,40
9867527,41,57
9867536,35,48
9867591,46,44
9867619,45,44
9867636,40,44
9867645,39,41
9867676,40,42
9867715,41,42
9867716,45,53
9867721,34,50
9867761,37,46
9867769,46,50
9867775,29,60
9867801,37,45
9867821,47,50
9867838,33,58
9867840,45,51
9867916,47,43
9867928,47,46
9867946,46,52
9867992,46,47
9868066,45,53
9868127,44,48
9868144,43,40
9868203,40,56
9868217,48,44
9868281,45,49
9868302,44,45
9868310,44,54
9868323,39,44
9868356,40,57
9868364,39,45
9868446,43,42
9868468,42,45
9868477,41,42
9868492,46,41
9868493,42,41
9868512,45,45
9868528,39,45
9868630,39,44
9868650,36,46
9868654,47,42
9868664,34,52
9868666,40,41
9868677,44,50
9868734,44,46
9868761,43,55
9868781,45,53
9868803,40,57
9868863,46,44
9868872,38,41
9868875,43,43
9868876,46,50
9868955,41,56
9868974,38,59
9869026,44,49
9869037,44,40
9869059,37,44
9869071,46,53
9869078,48,51
9869090,46,40
9869128,46,43
9869128,39,40
9869253,45,48
9869266,47,45
9869286,38,43
9869305,46,48
9869323,36,48
9869327,43,46
9869332,45,53
9869373,39,44
9869422,47,46
9869457,46,42
9869481,45,43
9869519,40,40
9869550,38,42
9869557,41,42
9869561,35,49
9869591,36,45
9869602,27,66
9869621,48,50
9869632,44,46
9869707,48,43
9869712,44,41
9869731,46,53
9869796,28,61
9869806,29,61
9869817,42,40
9869823,45,53
9869845,44,51
9869849,36,46
9869858,37,69
9869867,42,43
9869884,37,43
9869933,40,40
9869953,47,51
9869974,42,55
9870021,37,67
9870036,37,63
9870066,44,50
9870137,40,43
9870149,40,41
9870180,27,82
9870192,47,42
9870200,46,43
9870211,36,47
9870213,47,52
9870257,44,44
9870266,34,50
9870297,43,54
9870303,26,82
9870310,46,41
9870364,38,41
9870400,40,44
9870411,37,64
9870415,47,50
9870438,45,53
9870486,44,41
9870489,44,50
9870495,34,53
9870498,43,54
9870499,44,44
9870519,46,50
9870526,42,44
9870536,45,45
9870537,37,44
9870563,47,53
9870587,44,46
9870588,39,43
9870607,46,54
9870620,45,50
9870644,33,53
9870659,39,57
9870681,32,54
9870737,48,51
9870783,42,54
9870845,45,42
9870869,44,51
9870874,46,47
9870880,35,48
9870890,46,40
9870892,28,66
9870904,33,54
9870905,46,46
9870908,37,43
9870922,48,43
